window_start,anomaly_window,anomaly_score
2034,1,1.286577731937121
2035,1,1.1898417522926326
2036,1,1.1946858696026879
2037,1,1.1899654958569
2038,1,1.2174232266289744
2039,1,1.1995092722820364
2040,1,1.2159134913383194
2041,1,1.297150331961416
2042,1,1.2296869205373713
2043,1,1.3175694018008102
2044,1,1.224307902329913
2045,1,1.208532266299649
2046,1,1.1408896928006902
2047,1,1.1533312057844065
2048,1,1.161587481817595
2049,1,1.225571154506298
2050,1,1.2127563154646812
2051,1,1.2432021352590348
2052,1,1.165323602609257
2053,1,1.172554157909854
2054,1,1.1897859699255773
2055,1,1.2149417105809275
2056,1,1.1930799394746145
2057,1,1.184287694582192
2058,1,1.1242373400093162
2059,1,1.208784056894801
2060,1,1.17895277807236
2061,1,1.2806422084187252
2062,1,1.2057673596641325
2063,1,1.2095034284910464
2064,1,1.2111961480353144
2065,1,1.1690076150514424
2066,1,1.2612569079315668
2067,1,1.2331560373592945
2068,1,1.155854058509676
2069,1,1.1143736767420678
2070,1,1.2557611303234149
2071,1,1.1398477325932692
2072,1,1.1227751046757652
2073,1,1.1497515447355044
2074,1,1.1168167639078233
2075,1,1.023971600798013
2076,1,1.0218953853845392
2077,1,1.06366043490105
2078,1,1.06314500825047
2079,1,0.9630975062243006
2080,1,0.9993610559269208
2081,1,0.9475366435496086
2082,1,0.9661176968378347
2083,1,1.0074794390723927
2084,1,1.0375670968261153
2085,1,1.0039675455909238
2086,1,0.9766399766286815
2087,1,1.0141408955722984
2088,1,1.024339857022368
2089,1,1.020284905367776
2090,1,1.0865811907080958
2091,1,0.9867618280416064
2092,1,1.0195567525140148
2093,1,1.0023252437230772
2094,1,1.056032861972219
2095,1,1.0899062058697249
2096,1,1.0103967757298498
2097,1,1.010012359546923
2098,1,1.080187985222064
2099,1,1.0170994043194121
2100,1,1.0036229350328227
2101,1,1.0033851664291626
2102,1,1.0015315871746342
2103,1,1.0010088932586738
2104,1,1.0159089534116736
2105,1,0.9814193439789127
2106,1,1.0446782117034354
2107,1,1.0570062520358174
2108,1,0.983329896321854
2109,1,0.9752227037013972
2110,1,0.8566887980362479
2111,1,0.8653716194704635
2112,1,0.6112546187223415
2113,1,0.3858530193043712
2114,1,0.3072405971392478
2115,1,0.24361233342933453
2116,1,0.23699857872927232
2117,1,0.1994648884833652
2118,1,0.1698480801045228
2119,1,0.16298068158032852
2120,1,0.1017887209120194
2121,1,0.09445769948549776
2122,1,0.08726825435490548
2123,1,0.07346732275914292
2124,1,0.08810728632537446
2125,1,0.07974900495580317
2126,1,0.08959196115168888
2127,1,0.07262944005748118
2128,1,0.050894907310244486
2129,1,0.10023034547948195
2130,1,0.04966180939311382
2131,1,0.06984779745506531
2132,1,0.05857624586697452
2133,1,0.050688222715771
2134,1,0.06912833285732845
2135,1,0.01879971678455794
2136,1,0.033883059092827406
2137,1,0.031134898116277565
2138,1,0.02386853163790481
2139,1,0.016604959087737292
2140,1,0.07062556381535812
2141,1,0.09601806212376518
2142,1,0.08219333052674482
2143,1,0.0073029227503957905
2144,1,0.013013317760731224
2145,1,0.04279838211949172
2146,1,0.009970196151383393
2147,1,0.010160508038184801
2148,1,0.023471350347394004
2149,1,0.04984934885948311
2150,1,0.02951388521117826
2151,1,0.027026723689013377
2152,1,0.042089095844007884
2153,1,0.07378139817929275
2154,1,0.03811001540589798
2155,1,0.03088967578253632
2156,1,0.05374219348598275
2157,1,0.07536614081559989
2158,1,0.04555953935828505
2159,1,0.05729218205473208
2160,1,0.057607123575035724
2161,1,0.0758435084904101
2162,1,0.06270967240838976
2163,1,0.06709026584021527
2164,1,0.05473153256441643
2165,1,0.048606726677622225
2166,1,0.061961309902234696
2167,1,0.01198640021207309
2168,1,0.028934824990344943
2169,1,0.014210784929716391
2170,0,-0.02451582948506248
2171,0,-0.01772968057747204
2172,0,-0.02367443613926179
2173,0,-0.021742995125227038
2174,1,0.009742470877237341
2175,0,-0.01350443477052421
2176,0,-0.020362980381853468
2177,0,-0.022449832374184853
2178,0,-0.01767931902604536
2179,0,-0.02383387917219193
2180,0,-0.021319160556805716
2181,0,-0.02712001638172712
2182,0,-0.026797470505633747
2183,0,-0.007477457674967214
2184,0,-0.020803920843906365
2185,0,-0.0678487754441428
2186,0,-0.14549016567498607
2187,0,-0.11939979016331259
2188,0,-0.08262868515408295
2189,0,-0.0785404770374536
2190,0,-0.08352974703925353
2191,0,-0.08464260220079511
2192,0,-0.08166916638724198
2193,0,-0.07386040663634819
2194,0,-0.06764296499111477
2195,0,-0.04812559132912253
2196,0,-0.07534297225909237
2197,0,-0.053384594192172674
2198,0,-0.060481821642291766
2199,0,-0.05773457695876072
2200,0,-0.061239426777894845
2201,0,-0.05508265208931884
2202,0,-0.08597541113194196
2203,0,-0.10014935348562282
2204,0,-0.09061535163681222
2205,0,-0.09220397777582079
2206,0,-0.10293913177079927
2207,0,-0.01636907605403115
2208,0,-0.023591108596165755
2209,0,-0.055482897968192724
2210,0,-0.07084182955362239
2211,0,-0.06695394603835547
2212,0,-0.027705349017646652
2213,0,-0.051004664896548535
2214,0,-0.03372809718574343
2215,0,-0.013640189942128123
2216,0,-0.011018798567886012
2217,0,-0.03638379735486508
2218,0,-0.05708560414505626
2219,0,-0.05918940712627219
2220,0,-0.05859550854928486
2221,0,-0.03102368927273913
2222,0,-0.0306370018343487
2223,0,-0.06842670654776617
2224,0,-0.056790384113958314
2225,0,-0.06018148571886206
2226,0,-0.04034830536497158
2227,1,0.009221961522605238
2228,0,-0.024670708857835733
2229,1,0.043525048566166236
2230,1,0.021825029493399706
2231,1,0.021558637508194867
2232,1,0.016644319777841643
2233,1,0.004782830750524436
2234,1,0.014831926779713234
2235,1,0.03335635937077841
2236,1,0.09227866860126843
2237,1,0.10324653952909446
2238,1,0.02205099550650602
2239,1,0.07001137443346361
2240,1,0.10607405820160776
2241,1,0.05699601646290886
2242,1,0.061640175029753275
2243,1,0.07533850794153252
2244,1,0.1273579589737508
2245,1,0.14302190897566947
2246,1,0.16850091851681048
2247,1,0.1453686568032022
2248,1,0.1842423191549305
2249,1,0.26847000390952647
2250,1,0.30554913991331323
2251,1,0.3186727731922372
2252,1,0.3465005821234015
2253,1,0.32207460982634717
2254,1,0.3374140911794352
2255,1,0.3998753497172196
2256,1,0.4147661420717419
2257,1,0.45036207550862417
2258,1,0.5426455241708243
2259,1,0.5256962524075912
2260,1,0.6951694837165094
2261,1,0.6338922212378755
2262,1,0.6401747916744922
2263,1,0.6293242894443845
2264,1,0.7009257190031573
2265,1,0.7447658695930484
2266,1,0.7691999834570464
2267,1,0.7496221399349494
2268,1,0.7414036885782589
2269,1,0.7361314772115226
2270,1,0.8070452384917135
2271,1,0.7062404927519901
2272,1,0.7223345696630794
2273,1,0.7116973069918742
2274,1,0.7282086102056344
2275,1,0.7936071440037464
2276,1,0.788174834684173
2277,1,0.7478622264496777
2278,1,0.739995971665993
2279,1,0.7810739517696779
2280,1,0.7554081871351901
2281,1,0.7742890692111715
2282,1,0.7884787217904208
2283,1,0.6828037900591561
2284,1,0.6810462314079895
2285,1,0.6912799247583576
2286,1,0.7935112014862624
2287,1,0.7263256985889317
2288,1,0.7152301111644563
2289,1,0.6712340274284898
2290,1,0.7165418779222774
2291,1,0.7247475235417378
2292,1,0.6517625818801136
2293,1,0.6614577775829416
2294,1,0.6892717704274838
2295,1,0.6887384391245552
2296,1,0.7348531028136973
2297,1,0.6915181064831768
2298,1,0.7175186106599494
2299,1,0.7377943616690428
2300,1,0.7489839180197992
2301,1,0.7401109169661293
2302,1,0.7453192530423456
2303,1,0.7569567307984815
2304,1,0.8110822563876527
2305,1,0.8215843586924696
2306,1,0.8225485726618347
2307,1,0.7273257484855007
2308,1,0.6970632448529632
2309,1,0.6262756478024696
2310,1,0.7062014000498644
2311,1,0.6456063437556305
2312,1,0.6011551240596136
2313,1,0.653580954947401
2314,1,0.6295979748260789
2315,1,0.6162480055548336
2316,1,0.621552938816448
2317,1,0.6237030696857717
2318,1,0.6674110392460149
2319,1,0.6493241577634494
2320,1,0.6477219109368568
2321,1,0.623225093928176
2322,1,0.6362182569417949
2323,1,0.684709485738908
2324,1,0.6500800376459788
2325,1,0.6775184499117417
2326,1,0.609474280385669
2327,1,0.6176274073183388
2328,1,0.6898248669275455
2329,1,0.682704485119964
2330,1,0.634799180051457
2331,1,0.6701697972312428
2332,1,0.6026194266937015
2333,1,0.6117515619190241
2334,1,0.6022209002002255
2335,1,0.6237286313654882
2336,1,0.5955322507792689
2337,1,0.6112216496084955
2338,1,0.5402758277138338
2339,1,0.530151725939231
2340,1,0.508414635935611
2341,1,0.5594907010539885
2342,1,0.5895595353139207
2343,1,0.514153220333986
2344,1,0.5776549994529128
2345,1,0.522860229281799
2346,1,0.5544844884865161
2347,1,0.5243821107145372
2348,1,0.5437228755983408
2349,1,0.4603390481249803
2350,1,0.4315137893220651
2351,1,0.40989286036141404
2352,1,0.4165645131503801
2353,1,0.366380935104758
2354,1,0.34538118255400474
2355,1,0.32697164168603265
2356,1,0.288705272452042
2357,1,0.29091279434678197
2358,1,0.24339001746632039
2359,1,0.19557430392115727
2360,1,0.10852694979485444
2361,1,0.09879982955280853
2362,1,0.07026900259509672
2363,1,0.09884272165075325
2364,1,0.07025636700474558
2365,1,0.07546393503476767
2366,1,0.08838036303423147
2367,1,0.06814200515052593
2368,1,0.07493807985743106
2369,1,0.07213267533133427
2370,1,0.07786388471903427
